candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C2_none_p00_k7,C2,none,p00,7,-2.5703,-2.0427,2.0427,0.563,0.914,0.4128,0.4991,0.033676,,
C2_none_p01_k1,C2,none,p01,1,-11.3289,-1.9612,1.9612,0.6022,0.9418,0.504,0.36,0.052751,,
C2_none_p01_k2,C2,none,p01,2,-12.918,-1.8876,1.8876,0.5989,0.955,0.5327,0.4286,0.031652,,
C2_none_p01_k4,C2,none,p01,4,-11.0229,-1.9023,1.9023,0.5833,0.9434,0.4577,0.3634,0.025584,,
C2_none_p01_k3,C2,none,p01,3,-7.9941,-1.7827,1.7827,0.6011,0.9315,0.4369,0.3671,0.04075,,
C2_none_p01_k0,C2,none,p01,0,-7.6715,-2.0755,2.0755,0.6272,0.9419,0.5594,0.5627,0.020589,,
C2_none_p01_k5,C2,none,p01,5,-7.1041,-1.9784,1.9784,0.6194,0.9526,0.443,0.4539,0.016926,,
C2_none_p01_k6,C2,none,p01,6,-9.3046,-1.9604,1.9604,0.6105,0.9657,0.478,0.3912,0.040807,,
C2_none_p01_k7,C2,none,p01,7,-5.7816,-1.9216,1.9216,0.6049,0.959,0.4499,0.4337,0.048324,,
C2_none_p02_k0,C2,none,p02,0,-3.1433,-1.9158,1.9158,0.5637,0.9321,0.2319,0.5351,0.038766,,
C2_none_p02_k1,C2,none,p02,1,-4.0106,-2.0535,2.0535,0.5897,0.9514,0.2007,0.489,0.040129,,
C2_none_p02_k2,C2,none,p02,2,-6.3286,-2.0241,2.0241,0.5635,0.9151,0.2489,0.4803,0.03929,,
C2_none_p02_k3,C2,none,p02,3,-4.8001,-1.9593,1.9593,0.5772,0.9484,0.1636,0.4669,0.047694,,
C2_none_p02_k4,C2,none,p02,4,-4.9781,-2.0025,2.0025,0.5598,0.9373,0.2157,0.5443,0.031231,,
C2_none_p02_k5,C2,none,p02,5,-6.0669,-1.9188,1.9188,0.6213,0.9809,0.2126,0.5168,0.049946,,
C2_none_p02_k6,C2,none,p02,6,-4.1778,-1.935,1.935,0.5535,0.933,0.1953,0.5091,0.026279,,
C2_none_p02_k7,C2,none,p02,7,-6.5887,-2.0919,2.0919,0.617,0.9787,0.2276,0.5634,0.04897,,
C2_none_p03_k1,C2,none,p03,1,-7.2616,-1.7809,1.7809,0.6499,0.9792,0.4047,0.4285,0.046126,,
C2_none_p03_k3,C2,none,p03,3,-8.8219,-1.8244,1.8244,0.6414,0.9737,0.3898,0.5009,0.038363,,
C2_none_p03_k0,C2,none,p03,0,-7.2155,-1.9678,1.9678,0.5879,0.9421,0.3724,0.4947,0.048555,,
C2_none_p03_k2,C2,none,p03,2,-6.0501,-2.019,2.019,0.5489,0.9347,0.4575,0.4224,0.045643,,
C2_none_p03_k5,C2,none,p03,5,-4.7187,-1.8369,1.8369,0.6085,0.9576,0.3982,0.5172,0.053167,,
C2_none_p03_k4,C2,none,p03,4,-4.3368,-1.9236,1.9236,0.645,0.9701,0.4082,0.4389,0.024315,,
C2_none_p03_k6,C2,none,p03,6,-4.0384,-2.0701,2.0701,0.6237,0.965,0.4257,0.5299,0.032154,,
C2_none_p03_k7,C2,none,p03,7,-11.146,-1.8357,1.8357,0.6327,0.9489,0.2662,0.3909,0.033946,,
C2_none_p04_k1,C2,none,p04,1,-9.8842,-1.8997,1.8997,0.5585,0.9333,0.5061,0.38,0.032415,,
C2_none_p04_k0,C2,none,p04,0,-11.8187,-2.07,2.07,0.5496,0.9543,0.4671,0.4054,0.034027,,
C2_none_p04_k2,C2,none,p04,2,-8.978,-1.9933,1.9933,0.5969,0.9501,0.5392,0.4463,0.05172,,
C2_none_p04_k3,C2,none,p04,3,-10.6928,-2.2054,2.2054,0.5591,0.9289,0.506,0.4385,0.021214,,
C2_none_p04_k5,C2,none,p04,5,-4.8322,-2.0266,2.0266,0.6322,0.9754,0.5029,0.3878,0.030811,,
C2_none_p04_k4,C2,none,p04,4,-8.7355,-2.0682,2.0682,0.6021,0.958,0.4127,0.3713,0.029737,,
C2_none_p04_k7,C2,none,p04,7,-9.0983,-1.9588,1.9588,0.584,0.9508,0.511,0.3489,0.034515,,
C2_none_p04_k6,C2,none,p04,6,-7.5006,-1.9108,1.9108,0.6077,0.9666,0.4254,0.432,0.024372,,
C2_none_p05_k0,C2,none,p05,0,-3.175,-1.9442,1.9442,0.5452,0.9197,0.42,0.4109,0.030882,,
C2_none_p05_k2,C2,none,p05,2,-2.498,-1.9127,1.9127,0.5838,0.9512,0.481,0.4437,0.032589,,
C2_none_p05_k3,C2,none,p05,3,-2.9967,-1.9989,1.9989,0.5543,0.9441,0.4847,0.5597,0.027342,,
C2_none_p05_k1,C2,none,p05,1,-1.2585,-1.914,1.914,0.5867,0.9412,0.444,0.5189,0.034926,,
C2_none_p05_k4,C2,none,p05,4,-1.7872,-2.0967,2.0967,0.5079,0.8661,0.438,0.3915,0.034785,,
C2_none_p05_k5,C2,none,p05,5,-0.3638,-1.9115,1.9115,0.6139,0.9387,0.4435,0.5252,0.045147,,
C2_none_p05_k6,C2,none,p05,6,-1.0647,-1.9107,1.9107,0.5538,0.9191,0.3623,0.4479,0.061251,,
C2_none_p05_k7,C2,none,p05,7,-3.2724,-1.9925,1.9925,0.6107,0.9492,0.418,0.5274,0.03408,,
C2_none_p06_k0,C2,none,p06,0,-8.033,-1.9726,1.9726,0.6082,0.9615,0.4889,0.4987,0.028557,,
C2_none_p06_k1,C2,none,p06,1,-8.4628,-2.0866,2.0866,0.5968,0.9488,0.5041,0.4093,0.03217,,
C2_none_p06_k2,C2,none,p06,2,-6.8949,-1.9927,1.9927,0.622,0.957,0.4675,0.3533,0.03297,,
C2_none_p06_k4,C2,none,p06,4,-5.3938,-1.9682,1.9682,0.5935,0.9402,0.4753,0.3785,0.037878,,
C2_none_p06_k3,C2,none,p06,3,-6.573,-2.0377,2.0377,0.5788,0.9301,0.4813,0.4376,0.035801,,
C2_none_p06_k5,C2,none,p06,5,-5.1458,-1.9713,1.9713,0.6197,0.9627,0.4742,0.3607,0.030448,,
C2_none_p06_k6,C2,none,p06,6,-2.6916,-2.0059,2.0059,0.5813,0.9198,0.4673,0.3934,0.045039,,
C2_none_p06_k7,C2,none,p06,7,-6.9653,-1.9962,1.9962,0.5635,0.9338,0.4117,0.3276,0.03876,,
C2_none_p07_k0,C2,none,p07,0,-2.6699,-1.9392,1.9392,0.5928,0.9406,0.2584,0.3843,0.061542,,
C2_none_p07_k1,C2,none,p07,1,-3.7076,-2.0788,2.0788,0.5865,0.9377,0.1605,0.3339,0.055349,,
